boosting_rounds,train_auc,val_auc
1,0.75651,0.75979
2,0.79488,0.80364
3,0.82854,0.83537
4,0.82836,0.83506
5,0.83656,0.84262
6,0.84996,0.85498
7,0.85678,0.86376
8,0.85859,0.8645
9,0.86833,0.87424
10,0.87429,0.8777
11,0.87606,0.87973
12,0.87664,0.88063
13,0.87727,0.8819
14,0.87677,0.88209
15,0.87734,0.88175
16,0.88376,0.88744
17,0.89188,0.89377
18,0.89365,0.89431
19,0.89521,0.89537
20,0.89803,0.89862
21,0.89831,0.8988
22,0.89861,0.89886
23,0.9002,0.90015
24,0.90093,0.9017
25,0.90084,0.90187
26,0.90171,0.90294
27,0.90208,0.90394
28,0.90255,0.90439
29,0.90332,0.90455
30,0.90389,0.90481
31,0.90379,0.90464
32,0.90423,0.90448
33,0.90421,0.90457
34,0.9044,0.9048
35,0.90469,0.90477
36,0.90537,0.90566
37,0.90656,0.90642
38,0.90674,0.90604
39,0.9083,0.90691
40,0.90853,0.90701
41,0.90915,0.907
42,0.90953,0.90757
43,0.90998,0.90751
44,0.91048,0.9079
45,0.91112,0.90838
46,0.91121,0.90852
47,0.91141,0.90849
48,0.91154,0.90849
49,0.91175,0.90867
50,0.91216,0.90858
51,0.91237,0.90863
52,0.91285,0.90896
53,0.91308,0.90923
54,0.91319,0.90929
55,0.91416,0.90994
56,0.91443,0.91023
57,0.91447,0.91019
58,0.91487,0.90997
59,0.9151,0.90999
60,0.91534,0.90965
61,0.91556,0.90973
62,0.91593,0.90985
63,0.91636,0.9102
64,0.91643,0.91011
65,0.91666,0.91046
66,0.9167,0.91062
67,0.91678,0.91042
68,0.91696,0.9104
69,0.91709,0.91042
70,0.91718,0.91051
71,0.91735,0.91099
72,0.91748,0.91087
73,0.91752,0.91072
74,0.91766,0.91092
75,0.91775,0.91113
76,0.91804,0.91159
77,0.91833,0.91182
78,0.9184,0.91188
79,0.91854,0.9119
80,0.91861,0.91193
81,0.91864,0.91189
82,0.91888,0.91161
83,0.91898,0.91158
84,0.91906,0.91161
85,0.91915,0.91162
86,0.91938,0.91168
87,0.9197,0.91165
88,0.91978,0.91149
89,0.91997,0.91134
90,0.92023,0.91146
91,0.92066,0.91189
92,0.92089,0.91226
93,0.92097,0.91229
94,0.92113,0.91222
95,0.92119,0.91218
96,0.92132,0.91217
97,0.9214,0.91201
98,0.92165,0.9122
99,0.92168,0.9121
100,0.92173,0.91223
101,0.92175,0.91229
102,0.92188,0.91227
103,0.92196,0.91208
104,0.92205,0.91212
105,0.92211,0.91215
106,0.92236,0.9121
107,0.92245,0.91208
108,0.92252,0.91209
109,0.92253,0.91205
110,0.92254,0.91208
111,0.92258,0.91209
112,0.92266,0.91219
113,0.92268,0.91208